variable,N,missing,mean,sd,min,p0_1,p1,p5,p25,median,p75,p95,p99,p99_9,max,skewness,kurtosis,excess_kurtosis
r_t,955110,0,-0.0117348579944134,5.71559910046701,-368.057974325859,-32.8399064080072,-16.1133010487914,-8.25008650505587,-1.89107413574696,0,1.85980770124772,8.20039894548774,16.2853029562827,33.0516578379505,333.229206354559,0.293695490038109,125.974579288727,122.974579288727
r_t_winsorized,955110,0,-0.0130941504730094,5.11358581012508,-24.1019791758035,-21.8501341040516,-15.955246652341,-8.25008650505587,-1.89107413574696,0,1.85980770124772,8.20039894548774,16.1311937355217,22.4025538833321,24.3728852257513,0.0452365976816593,6.99574644739771,3.99574644739771
spread_tilde,955110,0,-1.46422387115824e-17,0.509702351359773,-1.20089430357079,-1.00338318978824,-0.888154231759808,-0.601243410164618,-0.420673160895701,-0.238745141798279,0.384878860108595,0.868539171900975,1.21081448392995,1.64009714657136,2.8817599566313,0.501859204773922,2.30816933514901,-0.691830664850987
spread,955110,0,0.358774256368376,0.572360652471598,0.00499999999999901,0.00499999999999901,0.00499999999999901,0.00999999999999091,0.0200000000000102,0.150000000000034,0.5,1.5,3,4,16,2.9346999646667,14.0317483535134,11.0317483535134
relative_spread,955110,0,0.000242329568282989,0.000190145135878842,3.07962367000223e-05,3.15502200627562e-05,3.2081615630134e-05,5.29226535419509e-05,0.000115466774435682,0.000185626334189249,0.000325414904002539,0.000642054574638844,0.00096665055582407,0.0013080444735121,0.00492307692307692,1.95587826138234,8.61423747570709,5.61423747570709
log_relative_spread,955110,0,-8.59456745092458,0.748797359348431,-10.3881180605142,-10.3639299939536,-10.3472274136988,-9.84667907745853,-9.06652773661011,-8.59177486088163,-8.03040956213068,-7.35083725066161,-6.9416734971856,-6.63922202536912,-5.313821553084,-0.120292776270554,2.76193213018296,-0.23806786981704
q_t,955110,0,-187.664254379077,23133.5196508099,-3263140,-213895.64,-51500,-10240,-454,0,357,9700,49500,198657.819999999,1664410,-5.29350353626034,1003.51227629772,1000.51227629772
event_level_ofi,955110,0,-863.724112405899,157786.356503537,-91117620,-796830.81,-182696.4,-40040,-1820,0,1660,37700,169900,748088.769999974,11859800,-244.109738777699,129545.198136097,129542.198136097
ofi_depth_scaled,955110,0,-0.662136932471802,200.51435197473,-59767.4285714286,-974.436779487179,-156.257354497354,-32.1753315586823,-2.71567844390152,0,2.64044135387585,31.090625,147.332583333333,912.167819047603,47001.5,-22.7998809563441,20994.6960106358,20991.6960106358
abs_ofi_tilde,955110,0,1.29893172684437e-17,0.999191388364746,-0.826758440682536,-0.733343997551844,-0.651822081921532,-0.561746626923869,-0.387840505316829,-0.227395210659369,0.00403682098761259,1.26053018097154,3.96442127843979,12.1932966882115,24.6972550541639,8.21672494579824,112.557856792509,109.557856792509
depth,955110,0,5037.85806451613,21735.1498021062,2,3,11,34,165,599,2664,24300,67700,232562.369999996,2482000,33.3484826181453,2327.79981392176,2324.79981392176
depth_tilde,955110,0,5.91798368347866e-20,1.24881091550554,-6.14940367123695,-4.40228689613108,-3.10894789451152,-2.01963786172572,-0.782483227851074,-0.00856708301540188,0.768340819003941,2.06753661182731,3.16128397534389,4.49414685409395,6.617782141416,0.0463474834675874,3.73711244632303,0.737112446323025
RV_t,955110,0,395.215561116514,1752.78039312797,0,0,3.27172814286576,17.6266517920076,79.6650155606991,184.125670957994,401.58560083916,1281.82346329891,3110.85185868352,10218.2345411253,237381.146743036,72.5779297139196,7257.62854565489,7254.62854565489
rv_tilde,955110,0,3.0774307949471e-17,0.999191388364746,-20.7370313880758,-8.93577611446173,-2.66606289712375,-1.47766221451916,-0.40052017899062,0.0836786822163038,0.477510166948929,1.36964950835745,2.13892830660503,3.12485795040294,5.48558945768034,-3.06968630382584,36.9747381223946,33.9747381223946
number_of_trades,955110,0,39.5555066955639,91.7825322052179,0,0,0,1,9,20,42,128,319,1113,8171,18.7851178946684,671.202512465454,668.202512465454
trade_volume,955110,0,10801.2782716127,51581.1617765388,0,0,0,7,160,905,4900,47070,170738.200000001,594242.989999951,8805340,32.8328746976577,2782.30585349528,2779.30585349528
