term,estimate,std_error,t_statistic,p_value,se_type,r_squared,n,flow_measure,flow_column
(Intercept),-0.0111318590628837,0.0051969561392041,-2.14199596161852,0.0321940591230828,OLS,0.0135042730391427,955110,depth-scaled OFI,ofi_depth_scaled
flow,0.00296357341494312,2.59179977581821e-05,114.344226841657,0,OLS,0.0135042730391427,955110,depth-scaled OFI,ofi_depth_scaled
(Intercept),-0.0111318590628837,0.00519912249151476,-2.14110344217731,0.0322659494947334,HC1 robust,0.0135042730391427,955110,depth-scaled OFI,ofi_depth_scaled
flow,0.00296357341494312,0.00043196357769994,6.86070207752966,6.8564357918727e-12,HC1 robust,0.0135042730391427,955110,depth-scaled OFI,ofi_depth_scaled
(Intercept),-0.0111318590628837,0.0144193109925586,-0.772010470446793,0.440108417147596,cluster by trade_date (HC1),0.0135042730391427,955110,depth-scaled OFI,ofi_depth_scaled
flow,0.00296357341494312,0.000450777007262105,6.57436685367571,4.88856224655421e-11,cluster by trade_date (HC1),0.0135042730391427,955110,depth-scaled OFI,ofi_depth_scaled
(Intercept),-0.00776479338706605,0.00518918816942557,-1.49634068635549,0.134565228088109,OLS,0.0165051264733499,955110,signed trade volume,q_t
flow,2.83983601649475e-05,2.24307421741861e-07,126.604639045912,0,OLS,0.0165051264733499,955110,signed trade volume,q_t
(Intercept),-0.00776479338706605,0.0051899144487301,-1.49613128766814,0.13461977643968,HC1 robust,0.0165051264733499,955110,signed trade volume,q_t
flow,2.83983601649475e-05,9.1467747897226e-07,31.0474028472376,1.57783905634602e-211,HC1 robust,0.0165051264733499,955110,signed trade volume,q_t
(Intercept),-0.00776479338706605,0.0143242829390387,-0.542072047872237,0.587769000239412,cluster by trade_date (HC1),0.0165051264733499,955110,signed trade volume,q_t
flow,2.83983601649475e-05,1.43123732395397e-06,19.841824755166,1.35060989647009e-87,cluster by trade_date (HC1),0.0165051264733499,955110,signed trade volume,q_t
