iteration,logLik,improvement,is_negative
0,-3324415.31099276,,FALSE
1,-3269915.01197626,54500.2990165018,FALSE
2,-3232804.05282555,37110.9591507129,FALSE
3,-3212608.45434586,20195.59847969,FALSE
4,-3198892.263548,13716.1907978598,FALSE
5,-3187634.95594639,11257.3076016051,FALSE
6,-3177748.06976659,9886.88617980573,FALSE
7,-3169168.19398616,8579.87578042503,FALSE
8,-3161979.35820598,7188.8357801768,FALSE
9,-3156137.56331387,5841.79489211598,FALSE
10,-3151447.08471324,4690.47860063054,FALSE
11,-3147653.74022258,3793.34449065616,FALSE
12,-3144568.88407369,3084.85614889395,FALSE
13,-3142059.12633856,2509.75773512665,FALSE
14,-3140010.16079005,2048.96554850694,FALSE
15,-3138310.29767106,1699.86311899172,FALSE
16,-3136890.30427013,1419.99340092856,FALSE
17,-3135715.0718378,1175.23243233468,FALSE
18,-3134731.20147848,983.870359319262,FALSE
19,-3133898.43991889,832.761559586506,FALSE
20,-3133195.56969111,702.870227786247,FALSE
21,-3132597.9634116,597.606279503088,FALSE
22,-3132087.36421965,510.599191959016,FALSE
23,-3131648.2403593,439.123860348947,FALSE
24,-3131269.40344703,378.836912268773,FALSE
25,-3130938.07368012,331.329766907264,FALSE
26,-3130636.76891631,301.30476381164,FALSE
27,-3130348.01493733,288.753978979308,FALSE
28,-3130054.4424866,293.572450732812,FALSE
29,-3129734.17138458,320.271102012601,FALSE
30,-3129330.45068782,403.720696767326,FALSE
31,-3128615.71679997,714.733887849841,FALSE
32,-3126975.10895764,1640.60784232523,FALSE
33,-3123652.56370279,3322.54525484983,FALSE
34,-3119022.19044013,4630.37326266011,FALSE
35,-3114210.17628458,4812.01415555412,FALSE
36,-3109781.54146871,4428.6348158638,FALSE
37,-3106102.89627386,3678.64519485226,FALSE
38,-3103329.10609558,2773.79017828451,FALSE
39,-3101281.98021703,2047.12587854825,FALSE
40,-3099788.10457513,1493.87564189592,FALSE
41,-3098647.72139815,1140.38317698659,FALSE
42,-3097726.5527498,921.168648343068,FALSE
43,-3097004.13958229,722.413167514373,FALSE
44,-3096459.34729331,544.792288977653,FALSE
45,-3096028.92108027,430.426213037223,FALSE
46,-3095684.94030378,343.980776492041,FALSE
47,-3095408.81479159,276.125512187835,FALSE
48,-3095185.80745635,223.007335246075,FALSE
49,-3095004.50275971,181.304696634877,FALSE
50,-3094856.03149805,148.471261665691,FALSE
51,-3094733.64432745,122.38717059698,FALSE
52,-3094632.24681793,101.397509522736,FALSE
53,-3094548.03647522,84.2103427057154,FALSE
54,-3094478.08821254,69.948262677528,FALSE
55,-3094420.03686543,58.0513471155427,FALSE
56,-3094371.91930132,48.1175641100854,FALSE
57,-3094332.09417685,39.8251244658604,FALSE
58,-3094299.17866846,32.9155083978549,FALSE
59,-3094272.0008806,27.1777878515422,FALSE
60,-3094249.56941528,22.4314653221518,FALSE
61,-3094231.05191868,18.5174966049381,FALSE
62,-3094215.75571865,15.2962000304833,FALSE
63,-3094203.10855749,12.6471611591987,FALSE
64,-3094192.63996064,10.4685968463309,FALSE
65,-3094183.964174,8.67578664328903,FALSE
66,-3094176.76523593,7.19893807172775,FALSE
67,-3094170.78432982,5.98090610373765,FALSE
68,-3094165.80928714,4.97504267888144,FALSE
69,-3094161.66598023,4.14330691751093,FALSE
70,-3094158.21131019,3.45467004040256,FALSE
71,-3094155.32751098,2.88379920460284,FALSE
