seccode,stressed_share,lambda_stressed,lambda_calm,avg_spread_bp_stressed,avg_depth_stressed,avg_max_posterior
CHMF,0.25994911580865,0.124097968437514,43.4681419957248,4.54369631719287,558.337119381344,0.890260717776927
GAZP,0.197348996450671,0.124097968437514,43.4681419957248,1.85887625482119,5659.65064459653,0.884253788457471
GMKN,0.220027012595408,0.124097968437514,43.4681419957248,3.88440402608448,6056.32548179872,0.862328317411452
HEAD,0.406555265885605,0.124097968437514,43.4681419957248,7.66672587430175,227.351180129022,0.899922642117955
LKOH,0.280459842321827,0.124097968437514,43.4681419957248,1.8407089432044,170.243756299698,0.899524409829125
MOEX,0.214860068473788,0.124097968437514,43.4681419957248,1.99057390644083,1537.15517871501,0.858254682912456
NLMK,0.277036152903854,0.124097968437514,43.4681419957248,3.77398114285236,3647.37301587302,0.879220804346395
NVTK,0.20980305933348,0.124097968437514,43.4681419957248,3.86358495819679,717.45609701325,0.866682997533299
PLZL,0.337735967584886,0.124097968437514,43.4681419957248,3.06796686088408,306.005254591955,0.860346671961243
ROSN,0.245060778339668,0.124097968437514,43.4681419957248,2.48352448407366,1150.36176621379,0.884614425289806
SBER,0.246458523102051,0.124097968437514,43.4681419957248,0.974945933342626,4339.24552348181,0.866306998944688
SNGS,0.347268900964287,0.124097968437514,43.4681419957248,5.78652990793277,34815.6611794501,0.873349898261765
T,0.300719288877721,0.124097968437514,43.4681419957248,1.6125722415143,283.014466262795,0.893868999391405
TATN,0.306750007852499,0.124097968437514,43.4681419957248,3.29896962834438,785.852549662093,0.889913775561622
YDEX,0.306498727895216,0.124097968437514,43.4681419957248,3.19577046613062,203.583213773314,0.883377998763275
